wp30-31, 77.4%, 217, 11/08/2022
wp32-33, 79.3%, 111, 11/09/2022
wp34-35, 75.0%, 92, 11/10/2022
wp36-37, 81.8%, 198, 11/10/2022
wp-test2, 80.8%, 120, 11/10/2022
wp39-40, 69.5%, 128, 11/12/2022
wp41, 76.6%, 154, 11/12/2022
wp42-43, 77.3%, 66, 11/13/2022
wp44-45, 73.0%, 100, 11/13/2022
wp46, 64.1%, 92, 11/13/2022
wp-test3, 73.3%, 120, 11/14/2022
